Device: mps
Curves: [601] (1 curves, max_p=601)
Variant: CRT-BOTH
  Curve 0 (p=601): CRT factors 24 x 25
Total solution space: 96000 across 1 curves
  Curve 0 (p=601): space=96000, 160 primitive roots
Train: 28800, Test: 67200
Vocab size: 606, max_len: 10
/Users/davidsvensson/Desktop/rd-lumi-z3/venv/lib/python3.13/site-packages/torch/nn/modules/transformer.py:392: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
Model: M06, d_model=208, n_heads=8, n_layers=2
Params: 1,298,526 total, 1,043,744 core
WD: start=0.05, max=0.1841, step=0.05

Starting training: 15000 epochs
================================================================================
  Ep   8700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3422.2s | c0(p=601)=0.00
  Ep   8800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3473.5s | c0(p=601)=0.00
  Ep   8900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3499.2s | c0(p=601)=0.00
  Ep   9000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3551.2s | c0(p=601)=0.00
  Ep   9100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3577.7s | c0(p=601)=0.00
  Ep   9200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3629.6s | c0(p=601)=0.00
  Ep   9300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3655.2s | c0(p=601)=0.00
  Ep   9400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3707.5s | c0(p=601)=0.00
  Ep   9500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3733.1s | c0(p=601)=0.00
  Ep   9600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3784.5s | c0(p=601)=0.00
  Ep   9700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3811.0s | c0(p=601)=0.00
  Ep   9800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3862.2s | c0(p=601)=0.00
  Ep   9900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3887.8s | c0(p=601)=0.00
  Ep  10000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3939.6s | c0(p=601)=0.00
  Ep  10100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=3965.4s | c0(p=601)=0.00
  Ep  10200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4016.7s | c0(p=601)=0.00
  Ep  10300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4042.4s | c0(p=601)=0.00
  Ep  10400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4093.6s | c0(p=601)=0.00
  Ep  10500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4119.1s | c0(p=601)=0.00
  Ep  10600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4171.6s | c0(p=601)=0.00
  Ep  10700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4197.8s | c0(p=601)=0.00
  Ep  10800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4249.7s | c0(p=601)=0.00
  Ep  10900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4275.3s | c0(p=601)=0.00
  Ep  11000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4327.7s | c0(p=601)=0.00
  Ep  11100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4353.2s | c0(p=601)=0.00
  Ep  11200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4405.6s | c0(p=601)=0.00
  Ep  11300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4431.5s | c0(p=601)=0.00
  Ep  11400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4483.6s | c0(p=601)=0.00
  Ep  11500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4509.1s | c0(p=601)=0.00
  Ep  11600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4561.2s | c0(p=601)=0.00
  Ep  11700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4586.8s | c0(p=601)=0.00
  Ep  11800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4639.0s | c0(p=601)=0.00
  Ep  11900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4665.1s | c0(p=601)=0.00
  Ep  12000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4716.3s | c0(p=601)=0.00
  Ep  12100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4741.9s | c0(p=601)=0.00
  Ep  12200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4793.9s | c0(p=601)=0.00
  Ep  12300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4819.8s | c0(p=601)=0.00
  Ep  12400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4872.1s | c0(p=601)=0.00
  Ep  12500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4897.7s | c0(p=601)=0.00
  Ep  12600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4950.1s | c0(p=601)=0.00
  Ep  12700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=4975.7s | c0(p=601)=0.00
  Ep  12800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5027.9s | c0(p=601)=0.00
  Ep  12900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5053.6s | c0(p=601)=0.00
  Ep  13000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5104.8s | c0(p=601)=0.00
  Ep  13100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5130.5s | c0(p=601)=0.00
  Ep  13200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5183.1s | c0(p=601)=0.00
  Ep  13300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5208.6s | c0(p=601)=0.00
  Ep  13400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5260.2s | c0(p=601)=0.00
  Ep  13500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5286.4s | c0(p=601)=0.00
  Ep  13600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5338.5s | c0(p=601)=0.00
  Ep  13700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5364.3s | c0(p=601)=0.00
  Ep  13800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5416.7s | c0(p=601)=0.00
  Ep  13900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5442.3s | c0(p=601)=0.00
  Ep  14000 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5494.5s | c0(p=601)=0.00
  Ep  14100 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5520.6s | c0(p=601)=0.00
  Ep  14200 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5571.7s | c0(p=601)=0.00
  Ep  14300 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5597.5s | c0(p=601)=0.00
  Ep  14400 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5649.5s | c0(p=601)=0.00
  Ep  14500 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5675.2s | c0(p=601)=0.00
  Ep  14600 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5727.5s | c0(p=601)=0.00
  Ep  14700 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5753.1s | c0(p=601)=0.00
  Ep  14800 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5804.6s | c0(p=601)=0.00
  Ep  14900 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5830.4s | c0(p=601)=0.00
  Ep  14999 | tr=0.0000 te=0.0000 loss=0.0000 wd=0.0500 t=5882.0s | c0(p=601)=0.00

================================================================================
Training complete: 15000 epochs in 5882.1s
Best test acc: 0.0018
Per-curve final:
  Curve 0 (p=601): 0.0000 FAILED
All curves grokked: False
================================================================================
